id	token	category	category_merged
0	Illum	Arabic	Arabic
0	waranofsinhar	Arabic	Arabic
0	il-	Arabic	Arabic
0	Maġistrat	Non-Arabic	Non-Arabic
0	Miriam	Name (Arabic)	Name
0	Hayman	Name (Non-Arabic)	Name
0	iddikjarat	Mixed	Non-Arabic
0	li	Arabic	Arabic
0	hemm	Arabic	Arabic
0	biżżejjed	Arabic	Arabic
0	provi	Non-Arabic	Non-Arabic
0	biex	Arabic	Arabic
0	il-	Arabic	Arabic
0	ħames	Arabic	Arabic
0	aħwa	Arabic	Arabic
0	tan-	Arabic	Arabic
0	negozjant	Non-Arabic	Non-Arabic
0	George	Name (Non-Arabic)	Name
0	Farrugia	Name (Arabic)	Name
0	jitqiegħdu	Arabic	Arabic
0	taħt	Arabic	Arabic
0	att	Non-Arabic	Non-Arabic
0	ta'	Arabic	Arabic
0	akkuża	Non-Arabic	Non-Arabic
0	.	Symbol	Symbol
1	L-	Arabic	Arabic
1	aħwa	Arabic	Arabic
1	tressqu	Arabic	Arabic
1	l-	Arabic	Arabic
1	Qorti	Non-Arabic	Non-Arabic
1	lbieraħ	Arabic	Arabic
1	u	Arabic	Arabic
1	ġew	Arabic	Arabic
1	mixlijin	Arabic	Arabic
1	b'	Arabic	Arabic
1	tixħim	Arabic	Arabic
1	fil-	Arabic	Arabic
1	każ	Non-Arabic	Non-Arabic
1	tax-	Arabic	Arabic
1	xiri	Arabic	Arabic
1	taż-	Arabic	Arabic
1	żejt	Arabic	Arabic
1	mill-	Arabic	Arabic
1	Enemalta	Name (Non-Arabic)	Name
1	fi	Arabic	Arabic
1	żmien	Arabic	Arabic
1	il-	Arabic	Arabic
1	Gvern	Non-Arabic	Non-Arabic
1	Nazzjonalista	Non-Arabic	Non-Arabic
1	,	Symbol	Symbol
1	f'	Arabic	Arabic
1	liema	Arabic	Arabic
1	każ	Non-Arabic	Non-Arabic
1	ħuhom	Arabic	Arabic
1	George	Name (Non-Arabic)	Name
1	ngħata	Arabic	Arabic
1	l-	Arabic	Arabic
1	proklama	Non-Arabic	Non-Arabic
1	.	Symbol	Symbol
2	L-	Arabic	Arabic
2	aħwa	Arabic	Arabic
2	huma	Arabic	Arabic
2	Antonio	Name (Non-Arabic)	Name
2	Farrugia	Name (Arabic)	Name
2	ta'	Arabic	Arabic
2	68	Symbol	Symbol
2	sena	Arabic	Arabic
2	minn	Arabic	Arabic
2	Santa	Name (Non-Arabic)	Name
2	Venera	Name (Non-Arabic)	Name
2	;	Symbol	Symbol
2	Gaetano	Name (Non-Arabic)	Name
2	Farrugia	Name (Arabic)	Name
2	ta'	Arabic	Arabic
2	65	Symbol	Symbol
2	sena	Arabic	Arabic
2	minn	Arabic	Arabic
2	Santa	Name (Non-Arabic)	Name
2	Venera	Name (Non-Arabic)	Name
2	;	Symbol	Symbol
2	Raymond	Name (Non-Arabic)	Name
2	Farrugia	Name (Arabic)	Name
2	,	Symbol	Symbol
2	ta'	Arabic	Arabic
2	62	Symbol	Symbol
2	sena	Arabic	Arabic
2	minn	Arabic	Arabic
2	Ħ'	Name (Arabic)	Name
2	Attard	Name (Non-Arabic)	Name
2	;	Symbol	Symbol
2	Saviour	Name (Non-Arabic)	Name
2	Farrugia	Name (Arabic)	Name
2	ta'	Arabic	Arabic
2	60	Symbol	Symbol
2	sena	Arabic	Arabic
2	minn	Arabic	Arabic
2	Santa	Name (Non-Arabic)	Name
2	Venera	Name (Non-Arabic)	Name
2	;	Symbol	Symbol
2	u	Arabic	Arabic
2	Emanuel	Name (Non-Arabic)	Name
2	Farrugia	Name (Arabic)	Name
2	,	Symbol	Symbol
2	ta'	Arabic	Arabic
2	59	Symbol	Symbol
2	sena	Arabic	Arabic
2	minn	Arabic	Arabic
2	Ħaż-	Name (Arabic)	Name
2	Żebbuġ	Name (Arabic)	Name
2	.	Symbol	Symbol
3	Fis-	Arabic	Arabic
3	seduta	Non-Arabic	Non-Arabic
3	tal-	Arabic	Arabic
3	lum	Arabic	Arabic
3	xehed	Arabic	Arabic
3	George	Name (Non-Arabic)	Name
3	Farrugia	Name (Arabic)	Name
3	nnifsu	Arabic	Arabic
3	,	Symbol	Symbol
3	li	Arabic	Arabic
3	kkonferma	Mixed	Non-Arabic
3	li	Arabic	Arabic
3	ħutu	Arabic	Arabic
3	kienu	Arabic	Arabic
3	jafu	Arabic	Arabic
3	li	Arabic	Arabic
3	kienu	Arabic	Arabic
3	qed	Arabic	Arabic
3	isiru	Arabic	Arabic
3	ħlasijiet	Arabic	Arabic
3	bħala	Arabic	Arabic
3	tixħim	Arabic	Arabic
3	lil	Arabic	Arabic
3	ċerti	Non-Arabic	Non-Arabic
3	nies	Arabic	Arabic
3	.	Symbol	Symbol
4	Dawn	Arabic	Arabic
4	il-	Arabic	Arabic
4	ħlasijiet	Arabic	Arabic
4	kienu	Arabic	Arabic
4	jinkludu	Mixed	Non-Arabic
4	500,000	Symbol	Symbol
4	dollaru	Name (Non-Arabic)	Name
4	lil	Arabic	Arabic
4	Frank	Name (Non-Arabic)	Name
4	Sammut	Name (Arabic)	Name
4	u	Arabic	Arabic
4	Tancred	Name (Non-Arabic)	Name
4	Tabone	Name (Non-Arabic)	Name
4	kif	Arabic	Arabic
4	ukoll	Arabic	Arabic
4	40,000	Symbol	Symbol
4	liri	Non-Arabic	Non-Arabic
4	Maltin	Name (Arabic)	Name
4	lil	Arabic	Arabic
4	Alfred	Name (Non-Arabic)	Name
4	Mallia	Name (Arabic)	Name
4	u	Arabic	Arabic
4	Tarcisio	Name (Non-Arabic)	Name
4	Mifsud	Name (Arabic)	Name
4	.	Symbol	Symbol
5	Rapport	Non-Arabic	Non-Arabic
5	aktar	Arabic	Arabic
5	dettaljat	Non-Arabic	Non-Arabic
5	fil-	Arabic	Arabic
5	ħin	Arabic	Arabic
5	li	Arabic	Arabic
5	ġej	Arabic	Arabic
5	.	Symbol	Symbol
6	•	Symbol	Symbol
6	Fil-	Arabic	Arabic
6	preżenza	Non-Arabic	Non-Arabic
6	tal-	Arabic	Arabic
6	avukati	Non-Arabic	Non-Arabic
6	tiegħu	Arabic	Arabic
6	Sigfried	Name (Non-Arabic)	Name
6	Borg	Name (Non-Arabic)	Name
6	Cole	Name (Non-Arabic)	Name
6	u	Arabic	Arabic
6	Franco	Name (Non-Arabic)	Name
6	Debono	Name (Non-Arabic)	Name
6	,	Symbol	Symbol
6	Farrugia	Name (Arabic)	Name
6	spjega	Non-Arabic	Non-Arabic
6	kif	Arabic	Arabic
6	sal-	Mixed	Non-Arabic
6	2010	Symbol	Symbol
6	huwa	Arabic	Arabic
6	kellu	Arabic	Arabic
6	negozju	Non-Arabic	Non-Arabic
6	ma'	Arabic	Arabic
6	ħutu	Arabic	Arabic
6	li	Arabic	Arabic
6	kienu	Arabic	Arabic
6	jinkludu	Mixed	Non-Arabic
6	l-	Arabic	Arabic
6	John's	Name (Non-Arabic)	Name
6	Garage	Name (Non-Arabic)	Name
6	,	Symbol	Symbol
6	Sunrays	Name (Non-Arabic)	Name
6	Travel	Name (Non-Arabic)	Name
6	,	Symbol	Symbol
6	JF	Name (Non-Arabic)	Name
6	Motors	Name (Non-Arabic)	Name
6	u	Arabic	Arabic
6	l-	Arabic	Arabic
6	Power	Name (Non-Arabic)	Name
6	Plan	Name (Non-Arabic)	Name
6	.	Symbol	Symbol
7	Huwa	Arabic	Arabic
7	spjega	Non-Arabic	Non-Arabic
7	kif	Arabic	Arabic
7	fir-	Arabic	Arabic
7	rigward	Non-Arabic	Non-Arabic
7	tal-	Arabic	Arabic
7	Power	Name (Non-Arabic)	Name
7	Plan	Name (Non-Arabic)	Name
7	huwa	Arabic	Arabic
7	kien	Arabic	Arabic
7	wieħed	Arabic	Arabic
7	mill-	Arabic	Arabic
7	firmatarji	Non-Arabic	Non-Arabic
7	flimkien	Arabic	Arabic
7	ma'	Arabic	Arabic
7	ħutu	Arabic	Arabic
7	u	Arabic	Arabic
7	biex	Arabic	Arabic
7	jinħareġ	Arabic	Arabic
7	ċekk	Non-Arabic	Non-Arabic
7	dan	Arabic	Arabic
7	kellu	Arabic	Arabic
7	jiġi	Arabic	Arabic
7	iffirmat	Mixed	Non-Arabic
7	minn	Arabic	Arabic
7	tnejn	Arabic	Arabic
7	mill-	Arabic	Arabic
7	aħwa	Arabic	Arabic
7	.	Symbol	Symbol
8	Farrugia	Name (Arabic)	Name
8	qal	Arabic	Arabic
8	li	Arabic	Arabic
8	fil-	Arabic	Arabic
8	bidu	Arabic	Arabic
8	l-	Arabic	Arabic
8	Power	Name (Non-Arabic)	Name
8	Plan	Name (Non-Arabic)	Name
8	kienet	Arabic	Arabic
8	taħdem	Arabic	Arabic
8	fil-	Arabic	Arabic
8	qasam	Arabic	Arabic
8	tal-	Arabic	Arabic
8	petrol	Code-Switching	Code-Switching
8	stations	Code-Switching	Code-Switching
8	imma	Arabic	Arabic
8	maż-	Arabic	Arabic
8	żmien	Arabic	Arabic
8	ried	Arabic	Arabic
8	isib	Arabic	Arabic
8	kumpanija	Non-Arabic	Non-Arabic
8	biex	Arabic	Arabic
8	jibda	Arabic	Arabic
8	jinnegozja	Mixed	Non-Arabic
8	fuq	Arabic	Arabic
8	iż-	Arabic	Arabic
8	żjut	Arabic	Arabic
8	u	Arabic	Arabic
8	daħal	Arabic	Arabic
8	f'	Arabic	Arabic
8	arranġament	Non-Arabic	Non-Arabic
8	mal-	Arabic	Arabic
8	kumpanija	Non-Arabic	Non-Arabic
8	Total	Name (Non-Arabic)	Name
8	.	Symbol	Symbol
9	Ħafna	Arabic	Arabic
9	mix-	Arabic	Arabic
9	xogħol	Arabic	Arabic
9	kien	Arabic	Arabic
9	jagħmlu	Arabic	Arabic
9	hu	Arabic	Arabic
9	imma	Arabic	Arabic
9	ġieli	Arabic	Arabic
9	kellu	Arabic	Arabic
9	l-	Arabic	Arabic
9	għajnuna	Arabic	Arabic
9	minn	Arabic	Arabic
9	xi	Arabic	Arabic
9	ħadd	Arabic	Arabic
9	minn	Arabic	Arabic
9	ħutu	Arabic	Arabic
9	għalkemm	Arabic	Arabic
9	ma	Arabic	Arabic
9	semmix	Arabic	Arabic
9	min	Arabic	Arabic
9	kienu	Arabic	Arabic
9	.	Symbol	Symbol
10	Skont	Non-Arabic	Non-Arabic
10	hu	Arabic	Arabic
10	kien	Arabic	Arabic
10	ikollu	Arabic	Arabic
10	ħafna	Arabic	Arabic
